Long,Lat,price_per_meter,rooms
22.960493,40.604717,7,2
23.71698,37.928139,6,3
22.962608,40.602085,15,0
23.778776,37.821037,22,2
23.707155,37.920044,22,2
23.750139,37.989689,15,1
23.762449,38.00053,10,2
23.733864,37.98877,11,2
23.866543,38.120243,8,5
22.432789,38.902992,6,1
25.448936,36.357716,12,0
23.154373,38.95121,5,1
22.963585,40.58448,25,1
22.985022,40.512341,5,3
20.836323,39.676895,6,2
25.358524,35.205864,4,2
23.756769,37.869579,11,1
23.75518,37.874901,16,3
23.769131,37.836418,20,3
23.776979,37.826241,10,5
23.77763,37.825951,10,5
23.783421,37.857922,21,4
23.689972,37.92783,15,2
23.774097,37.839119,15,4
22.96344,40.61618,12,1
22.927813,40.641605,15,0
23.43119,37.747425,6,1
23.806889,38.079376,23,1
23.325851,40.193169,193,4
23.33156,40.076653,52,2
23.624598,39.985012,83,3
23.80143,38.076721,12,2
23.739302,37.979206,15,1
23.733934,38.001396,11,1
23.803207,38.033844,14,2
23.850128,38.116821,11,5
23.76919,37.839012,10,3
23.734011,38.008839,5,3
23.73382,38.01305,17,1
23.815664,38.019699,12,1
23.760365,37.986828,13,2
23.744446,37.968826,15,2
23.724976,37.995918,4,2
23.764162,38.005604,28,2
23.847065,37.809845,11,4
23.755274,37.991516,14,1
23.728834,37.991188,7,4
23.72744,37.991718,11,2
22.954151,40.606426,10,1
22.989138,40.595715,16,1
22.432575,38.903027,4,2
22.905905,40.721478,6,2
23.835011,38.07906,9,4
23.737991,37.923874,7,3
23.717121,37.928638,6,3
24.50736,35.223301,0,2
23.780182,37.817745,11,3
23.775562,37.827663,22,3
23.740219,37.979778,24,1
23.04043,38.876991,9,0
23.433241,40.100597,64,3
22.980961,40.611858,10,1
22.956699,40.61948,10,2
22.919991,40.654289,7,1
22.944639,40.629978,9,0
22.950529,40.638981,10,1
23.042822,38.860943,7,1
22.96949,40.62104,6,2
22.97049,40.603279,5,3
22.95265,40.607491,7,2
22.945,40.64299,6,1
23.736231,37.955311,8,2
23.879889,38.106987,6,4
22.974871,37.971821,51,1
23.7666,37.838436,20,2
23.709187,37.936466,17,2
23.825832,38.104191,10,3
22.553043,38.506939,100,2
23.737637,38.000839,22,1
