Long,Lat,ROI
23.787052,40.0941165,0
22.423464,37.070877,0
23.07184,39.091946,0
22.97435,40.598831,3.3
26.559275,39.106739,0
23.7503245,37.9523715,4.9
23.536973,37.744257,2.8
25.088612,35.3275415,4.7
20.314898,39.471428,0
24.311371,37.629192,0
24.132099,38.639996,0
23.860508,37.824783,4.2
26.852989,37.154751,4.3
23.927528,35.516125,4.4
22.729168,37.479252,0
23.861748,37.955288,0
20.8169415,39.7266675,8.0
21.4345835,37.6576595,4.7
22.986849,39.052437,0
22.584242,38.894836,0
23.977964,38.063309,4.6
21.310564,37.876598,0
24.560211,35.352699,5.9
24.388792,40.933062,5.6
22.96727,37.878143,0
26.593973,39.05962,0
23.728493,38.117325,5.6
22.857572,37.5488835,2.9
23.825897,38.0096185,3.6
21.617609,39.66423,0
25.332878,35.177147,0
24.718525,35.152576,0
24.541291,35.1331635,0
26.2698555,39.2586745,0
26.372257,38.974907,0
23.610279,39.952637,8.7
23.487129,37.943718,3.6
22.669563,38.583866,0
23.049722,40.4815615,4.3
23.269773,38.14222,0
23.456472,40.952789,0
22.9582555,39.381796,10.8
23.742362,37.9054945,3.2
25.0167235,35.406914,3.5
25.3213625,35.32823,9.5
22.981775,36.324841,15.4
22.948243,40.633404,3.2
22.248421,36.895855,0
23.777554,38.000626,3.6
21.743528,38.257095,5.7
23.641827,37.957153,4.8
22.317644,39.690205,0
22.993698,37.97464,5.2
23.8060265,38.2053795,3.6
24.570185,35.342825,2.2
20.795616,39.538273,0
22.956869,40.617447,4.2
25.1273405,35.3394855,7.4
23.766337,38.044201,2.3
22.096853,37.040817,0
23.7119655,38.060093,4.2
21.920068,36.8141615,0
22.9080745,38.3529455,2.1
26.136345,35.036285,0
23.989178,37.892197,5.8
22.8050535,37.6377105,5.1
23.106066,39.328079,0
23.842493,37.961693,4.8
21.737516,38.23534,8.4
22.893105,39.096497,0
22.876671,40.4999925,5.3
22.264997,38.014084,0
23.6571885,37.990326,8.8
23.786987,38.013241,4.4
25.022873,35.131512,0
24.420534,40.93782,5.1
20.743635,38.838795,0
23.713317,37.921892,3.2
25.19927,37.5396,2.4
22.2221085,40.5075305,0
25.511971,35.303303,0
23.734266,37.950253,4.7
23.781071,38.06601,5.0
21.698433,37.349781,0
24.659456,40.908203,0
25.733871,35.016922,0
26.372124,39.085339,7.6
25.428602,36.968128,0
25.209707,35.208359,0
21.729078,38.226807,9.2
25.371161,37.05135,0
23.677935,41.100594,1.6
23.844202,38.1183465,7.5
23.723312,38.029697,5.6
23.898354,38.249065,9.8
23.22574,37.371307,5.2
22.365887,39.524548,9.0
23.122637,37.255371,0
23.804626,38.0518,3.8
23.74979,38.044573,3.5
24.196251,38.410965,4.2
21.459251,37.749214,0
23.9027435,38.2933845,4.7
21.921936,39.364429,168.0
23.947792,38.625385,13.8
23.97868,35.510555,3.3
23.045282,36.549725,0
23.84973,38.421406,7.6
24.96247,35.056873,4.3
25.721489,35.190193,0
22.292557,38.368984,0
23.141199,37.929588,7.3
25.404169,41.043083,0
22.947344,39.001373,3.2
22.9461915,40.6470145,5.7
23.038591,38.931026,4.4
22.878313,39.6958885,2.5
22.482306,37.496555,0
23.0592535,38.905939,0
23.543787,38.641281,0
22.8454795,37.5998555,3.8
23.194248,37.296898,3.8
21.741926,38.254642,5.5
22.124186,38.1648525,0
23.094091,37.630972,0
24.2849015,40.87001,0.5
21.920601,36.866814,0
23.7391625,38.40333,7.1
23.99225,38.050125,14.3
22.764658,37.345127,0
23.849992,37.9683265,0
25.215855,37.105984,0
21.729579,38.2407095,5.8
21.314421,37.667721,1.8
21.891975,36.856613,0
23.657955,35.493744,0
23.765526,35.4838395,0
22.40799,39.635349,6.3
24.8857715,35.071655,0
23.70343,38.007874,3.9
23.093172,40.4726315,0
25.391575,37.061386,0
23.742279,37.959753,4.9
23.7787225,38.605322,0
24.246441,41.075623,6.8
24.288375,40.818539,0
24.4208285,40.943022,4.6
23.125393,39.320644,0
23.480009,37.93251,6.7
23.732999,38.3162575,0
23.692385,40.209263,0
22.7489605,40.7340545,0
21.7696995,40.8407745,8.8
23.029312,37.922909,6.2
25.501286,40.884514,0
22.659263,38.7677305,0
25.165808,37.043804,0
23.7741995,41.0434835,0
24.014757,37.726959,0
20.7978695,37.798578,0
24.5757475,35.3533265,7.3
23.730623,37.934216,2.9
22.94943,40.6390265,4.8
24.142355,38.282337,0
21.9476245,40.4279995,0
20.941,39.41605,0
22.969383,37.895451,0
23.862549,37.80843,4.8
24.3755145,37.312927,16.5
22.304457,36.813511,0
23.159756,39.414974,1.9
22.110071,39.518047,0
23.772644,38.009399,3.3
21.016352,39.161213,5.8
22.23215,40.156849,0
21.792278,38.59922,0
23.025349,39.016869,1.9
21.739504,38.253345,4.8
22.519903,36.74934,0
23.729404,38.018936,5.2
23.731722,38.021095,4.8
22.4252695,39.6315915,5.6
23.632406,37.950027,4.6
23.71056,38.0236415,4.6
22.028431,37.166965,0
25.186726,37.527939,0
22.38238,38.509808,0
23.697575,38.087154,5.3
25.030319,36.978275,8.0
24.0955145,38.509781,0
19.713549,39.720654,6.2
20.857468,39.267559,0
25.68792,35.051331,0
21.406454,40.195293,0
25.469612,36.860737,0
24.4132715,40.939604,8.2
23.618086,37.961823,6.4
22.912779,37.930679,4.0
21.922277,36.755909,3.2
22.338985,39.45409,0
22.877002,38.837227,3.2
22.575886,37.643963,0
23.396004,37.625626,0
22.8827785,39.2908785,5.1
23.7846825,38.005756,3.3
23.644133,37.971092,5.2
22.387905,36.524261,0
20.51124,39.451939,0
21.435871,37.697098,0
