Long,Lat,ROI,n_sale,n_rent,sale_price_per_meter,rent_price_per_meter,geography
26.852989,37.154751,3.8,21,2,2230,7,Agia Marina (Leros)
23.927528,35.516125,4.4,19,8,3000,11,Agia Marina (Nea Kidonia)
22.729168,37.479252,0,1,0,1210,0,Agia Marina (North Kinouria)
23.861748,37.955288,0,7,0,2439,0,Agia Marina (Paiania)
20.8169415,39.7266675,8.0,2,1,746,5,Agia Marina (Perama)
21.4345835,37.6576595,6.0,2,1,1403,7,Agia Marina (Pirgos)
22.986849,39.052437,0,5,0,1464,0,Agia Marina (Pteleos)
22.584242,38.894836,0,2,0,1163,0,Agia Marina (Stilida)
23.977964,38.063309,6.1,15,5,2348,12,Agia Marina Neas Makris (Nea Makri)
21.310564,37.876598,0,1,0,614,0,Agia Mavra (Tragano)
24.560211,35.352699,4.7,3,3,2027,8,Agia Paraskeui (Arkadi)
24.388792,40.933062,5.6,8,7,1280,6,Agia Paraskeui (Kavala)
22.96727,37.878143,0,1,0,1176,0,Agia Paraskeui (Korinthos)
26.593973,39.05962,0,1,0,1844,0,Agia Paraskeui (Lesvos - Mitilini)
23.728493,38.117325,5.6,19,1,1714,8,Agia Paraskevi (Acharnes)
22.857572,37.5488835,0,42,0,1875,0,Agia Paraskevi (Asini)
23.825897,38.0096185,4.0,434,79,3333,11,Agia Paraskevi (Athens - North)
21.617609,39.66423,0,1,0,1675,0,Agia Paraskevi (Kalampaka)
25.332878,35.177147,0,1,0,1162,0,Agia Paraskevi (Kastelli)
24.718525,35.152576,0,1,0,1363,0,Agia Paraskevi (Kourites)
24.541291,35.1331635,0,2,0,4014,0,Agia Paraskevi (Lampi)
26.2698555,39.2586745,0,2,0,878,0,Agia Paraskevi (Lesvos - Agia Paraskevi)
26.372257,38.974907,0,1,0,454,0,Agia Paraskevi (Lesvos - Plomari)
23.610279,39.952637,9.4,39,1,1785,14,Agia Paraskevi (Pallini)
23.487129,37.943718,3.6,9,1,1333,4,Agia Paraskevi (Salamina)
22.669563,38.583866,0,1,0,866,0,Agia Paraskevi (Tithorea)
23.049722,40.4815615,5.4,104,9,1110,5,Agia Paraskevi (Vasilika)
23.269773,38.14222,0,1,0,2714,0,Agia Paraskevi (Vilia)
23.456472,40.952789,0,1,0,654,0,Agia Paraskevi (Visaltia)
22.9582555,39.381796,10.8,18,4,835,8,Agia Paraskevi (Volos)
23.742362,37.9054945,3.5,54,29,4115,12,Agia Paraskevi Ellinikou (Elliniko)
25.0167235,35.406914,3.5,34,18,2761,8,Agia Pelagia (Gazi)
25.3213625,35.32823,9.5,2,3,1260,10,Agia Pelagia (Gouves)
22.981775,36.324841,15.4,5,2,1866,24,Agia Pelagia (Kythira)
22.948243,40.633404,3.5,626,335,3750,11,Agia Sofia (Center of Thessaloniki)
22.248421,36.895855,0,1,0,1971,0,Agia Sofia (Lefktros)
23.777554,38.000626,3.3,53,33,3310,9,Agia Sofia (Neo Psychiko)
21.743528,38.257095,5.7,293,445,1683,8,Agia Sofia (Patra)
23.641827,37.957153,4.8,241,49,2020,8,Agia Sofia (Tabouria - Agia Sofia)
22.317644,39.690205,0,1,0,581,0,Agia Sofia (Tirnavos)
22.993698,37.97464,0,9,0,1621,0,Agia Sotira (Loutraki-Perachora)
23.8060265,38.2053795,1.3,76,4,1349,2,Agia Triada (Afidnes)
24.570185,35.342825,2.2,14,1,3819,7,Agia Triada (Arkadi)
20.795616,39.538273,0,1,0,1450,0,Agia Triada (Dodoni)
22.956869,40.617447,4.6,1002,507,2596,10,Agia Triada (Faliro - Ippokratio)
25.1273405,35.3394855,7.1,16,12,1777,11,Agia Triada (Heraclion Cretes)
23.766337,38.044201,2.3,122,6,3656,7,Agia Triada (Iraklio)
22.096853,37.040817,0,3,0,1718,0,Agia Triada (Kalamata)
23.7119655,38.060093,3.9,32,2,2007,7,Agia Triada (Kamatero)
21.920068,36.8141615,0,2,0,1698,0,Agia Triada (Koroni)
22.9080745,38.3529455,2.1,2,1,1166,2,Agia Triada (Koronias)
26.136345,35.036285,0,1,0,767,0,Agia Triada (Lefki)
23.989178,37.892197,7.1,59,6,1950,12,Agia Triada (Markopoulo)
22.8050535,37.6377105,5.1,16,3,1179,5,Agia Triada (Midea)
23.106066,39.328079,0,3,0,833,0,Agia Triada (Milies)
23.842493,37.961693,0,9,0,2008,0,Agia Triada (Paiania)
21.737516,38.23534,9.0,75,68,1000,8,Agia Triada (Patra)
22.893105,39.096497,0,1,0,449,0,Agia Triada (Sourpi)
22.876671,40.4999925,6.0,162,50,1591,8,Agia Triada (Thermaikos)
22.264997,38.014084,0,1,0,1785,0,Agia Varvara (Akrata)
23.6571885,37.990326,8.8,72,6,1294,10,Agia Varvara (Athens - West)
23.786987,38.013241,4.8,93,28,2981,12,Agia Varvara (Chalandri)
25.022873,35.131512,0,1,0,9500,0,Agia Varvara (Heraklion Prefecture)
24.420534,40.93782,5.9,35,21,1413,7,Agia Varvara (Kavala)
20.743635,38.838795,0,1,0,1757,0,Agia Varvara (Kekropia (Palairou))
23.713317,37.921892,3.2,130,49,3697,10,Agia Varvara (Palaio Faliro)
25.19927,37.5396,2.4,9,4,3982,8,Agia Varvara (Tinos)
22.2221085,40.5075305,0,2,0,430,0,Agia Varvara (Veroia)
25.511971,35.303303,0,1,0,2280,0,Agia Varvara (Vrachasi)
23.734266,37.950253,5.1,109,11,2577,11,Agia Varvara Dafnis (Dafni)
23.781071,38.06601,5.4,41,8,2666,12,Agia Varvara Lykovrysis (Lykovrisi)
21.698433,37.349781,0,1,0,1560,0,Agiannakis (Avlona)
24.659456,40.908203,0,3,0,857,0,Agiasma (Keramoti)
25.733871,35.016922,0,1,0,1180,0,Agiasmenos (Ierapetra)
26.372124,39.085339,0,1,0,315,0,Agiasos (Lesvos - Agiasos)
25.428602,36.968128,0,1,0,820,0,Agiassos (Naxos - Drimalia)
25.209707,35.208359,0,1,0,1166,0,Agies Paraskies (Nikos Kazantzakis)
21.729078,38.226807,8.6,21,15,1111,8,Agii Apostoli (Patra)
25.371161,37.05135,0,5,0,4333,0,Agii Pantes (Naxos)
23.677935,41.100594,1.6,3,1,740,1,Agio Pnevma (Emmanouil Pappas)
23.844202,38.1183465,7.5,10,2,1603,10,Agioi Aggeloi (Anoixi)
23.723312,38.029697,5.6,67,5,1718,8,Agioi Anargiroi (Athens - West)
23.898354,38.249065,9.8,11,1,1225,10,Agioi Anargiroi (Com. Kapandriti)
